date,home_team,home_score,away_team,away_score,attendance,game_id_url,game_id,playoff_game,home_team_rank,away_team_rank
09/21/2024,Erskine The Flying Fleet,0,Valdosta St.,73,375,/contests/5365862/box_score,5365862,0,NA,NA
09/21/2024,Mississippi Col. Choctaws,7,North Greenville,29,"3,472",/contests/5365864/box_score,5365864,0,NA,NA
09/21/2024,Eastern N.M. Greyhounds,15,Midwestern St.,36,"1,313",/contests/5365865/box_score,5365865,0,NA,NA
09/21/2024,Henderson St.,27,Arkansas Tech Wonder Boys,12,"5,423",/contests/5365866/box_score,5365866,0,NA,NA
09/21/2024,Wayne St. (MI),6,UIndy Greyhounds,30,"1,656",/contests/5365869/box_score,5365869,0,NA,NA
09/21/2024,Missouri S&T Miners,14,Quincy,21,"3,027",/contests/5365877/box_score,5365877,0,NA,NA
09/21/2024,Delta St. Statesmen,27,Fort Valley St.,24,"2,797",/contests/5365881/box_score,5365881,0,NA,NA
09/21/2024,Tex. Permian Basin,14,Tex. A&M-Kingsville Javelinas,20,"5,825",/contests/5365883/box_score,5365883,0,NA,NA
09/21/2024,Western Colo.,38,Adams St. Grizzlies,0,"1,522",/contests/5365891/box_score,5365891,0,NA,NA
09/21/2024,Johnson C. Smith Golden Bulls,21,Virginia Union,16,"4,490",/contests/5365894/box_score,5365894,0,NA,NA
09/21/2024,Southeastern Okla.,29,Okla. Baptist Bison,10,"2,023",/contests/5365899/box_score,5365899,0,NA,NA
09/21/2024,Southern Ark.,20,Ouachita Baptist Tigers,25,"6,869",/contests/5365901/box_score,5365901,0,NA,NA
09/21/2024,East Central Tigers,3,Southwestern Okla.,19,"1,933",/contests/5365902/box_score,5365902,0,NA,NA
09/21/2024,West Florida,33,West Ala. Tigers,35,"5,103",/contests/5365908/box_score,5365908,0,NA,NA
09/21/2024,West Virginia St.,57,West Liberty Hilltoppers,37,"2,312",/contests/5365909/box_score,5365909,0,NA,NA
09/21/2024,Fort Hays St. Tigers,37,Northeastern St.,0,"2,450",/contests/5365917/box_score,5365917,0,NA,NA
09/21/2024,Grand Valley St. Lakers,20,Wis.-La Crosse,13,"15,884",/contests/5365918/box_score,5365918,0,NA,NA
09/21/2024,West Tex. A&M,3,Central Wash. Wildcats,45,"3,157",/contests/5365924/box_score,5365924,0,NA,NA
09/21/2024,Western N.M.,0,Angelo St. Rams,21,300,/contests/5365925/box_score,5365925,0,NA,NA
09/21/2024,Allen,35,Point U.,10,600,/contests/5365929/box_score,5365929,0,NA,NA
09/21/2024,Neb.-Kearney,17,Central Okla. Bronchos,32,"3,400",/contests/5365930/box_score,5365930,0,NA,NA
09/28/2024,Franklin Pierce Ravens,48,Pace,20,345,/contests/5365932/box_score,5365932,0,NA,NA
09/28/2024,Ohio Dominican,38,Ky. Wesleyan Panthers,7,"1,273",/contests/5365937/box_score,5365937,0,NA,NA
09/28/2024,Winston-Salem,28,Bowie St. Bulldogs,14,"4,900",/contests/5365939/box_score,5365939,0,NA,NA
09/28/2024,Glenville St. Pioneers,14,UNC Pembroke,7,"1,000",/contests/5365942/box_score,5365942,0,NA,NA
09/28/2024,West Virginia St.,48,West Va. Wesleyan Bobcats,22,"1,023",/contests/5365943/box_score,5365943,0,NA,NA
09/28/2024,Campbellsville,24,Roosevelt  Lakers,8,"1,100",/contests/5365945/box_score,5365945,0,NA,NA
09/28/2024,MSU Moorhead,43,Augustana  Vikings,41,"1,235",/contests/5365951/box_score,5365951,0,NA,NA
09/28/2024,N.M. Highlands Cowboys,12,Western Colo.,53,"1,002",/contests/5365955/box_score,5365955,0,NA,NA
09/29/2024,Limestone,37,Emory & Henry Wasps,24,"1,245",/contests/5365957/box_score,5365957,0,NA,NA
09/28/2024,American Int'l Yellow Jackets,7,Ferris St.,84,"1,468",/contests/5365963/box_score,5365963,0,NA,NA
09/28/2024,California  Vulcans,49,Gannon,7,"4,122",/contests/5365966/box_score,5365966,0,NA,NA
09/28/2024,Minn. Duluth Bulldogs,62,Southwest Minn. St.,0,"4,075",/contests/5365969/box_score,5365969,0,NA,NA
09/28/2024,Concordia-St. Paul Golden Bears,20,Minnesota St.,33,"3,617",/contests/5365970/box_score,5365970,0,NA,NA
09/28/2024,Truman St. Bulldogs,31,Wayne St. (MI),17,"2,343",/contests/5365971/box_score,5365971,0,NA,NA
09/28/2024,Mercyhurst,24,Frostburg St. Bobcats,25,"1,150",/contests/5365978/box_score,5365978,0,NA,NA
09/29/2024,Lenoir-Rhyne Bears,37,Tusculum,23,"1,046",/contests/5365986/box_score,5365986,0,NA,NA
09/28/2024,Southwest Baptist,17,Lincoln  Blue Tigers,13,"2,322",/contests/5365995/box_score,5365995,0,NA,NA
09/28/2024,Colorado Mesa,18,Chadron St. Eagles,3,"3,792",/contests/5366000/box_score,5366000,0,NA,NA
09/28/2024,Colo. Sch. of Mines,52,Black Hills St. Yellow Jackets,24,"6,958",/contests/5366001/box_score,5366001,0,NA,NA
09/28/2024,Lock Haven Bald Eagles,24,Millersville,23,"1,587",/contests/5366002/box_score,5366002,0,NA,NA
09/28/2024,Shippensburg,0,Shepherd Rams,38,"2,423",/contests/5366005/box_score,5366005,0,NA,NA
09/28/2024,Central Mo. Mules,36,Neb.-Kearney,35,"7,124",/contests/5366007/box_score,5366007,0,NA,NA
09/28/2024,Adams St. Grizzlies,10,CSU Pueblo,66,450,/contests/5366009/box_score,5366009,0,NA,NA
09/28/2024,Ashland Eagles,21,Tiffin,12,"2,115",/contests/5366015/box_score,5366015,0,NA,NA
09/28/2024,Concord,7,Charleston  Golden Eagles,42,"1,257",/contests/5366019/box_score,5366019,0,NA,NA
09/28/2024,Virginia Union,42,Shaw Bears,7,"2,035",/contests/5366023/box_score,5366023,0,NA,NA
09/28/2024,Minot St. Beavers,26,Sioux Falls,22,"2,515",/contests/5366025/box_score,5366025,0,NA,NA
09/21/2024,Missouri S&T,14,Quincy Hawks,21,"3,027",/contests/5366026/box_score,5366026,0,NA,NA
09/28/2024,Morehouse,5,Benedict Tigers,21,"2,102",/contests/5366034/box_score,5366034,0,NA,NA
09/28/2024,Wheeling,49,Fairmont St. Falcons,52,500,/contests/5366043/box_score,5366043,0,NA,NA
09/28/2024,Chowan Hawks,27,Mississippi Col.,25,532,/contests/5366044/box_score,5366044,0,NA,NA
09/28/2024,St. Anselm,31,Southern Conn. St. Owls,28,"1,227",/contests/5366045/box_score,5366045,0,NA,NA
09/28/2024,William Jewell,7,Davenport Panthers,17,"2,216",/contests/5366046/box_score,5366046,0,NA,NA
09/28/2024,Western Ore.,24,West Tex. A&M Buffaloes,16,"1,457",/contests/5366047/box_score,5366047,0,NA,NA
09/28/2024,Northwest Mo. St.,14,Emporia St. Hornets,9,"4,895",/contests/5366051/box_score,5366051,0,NA,NA
09/28/2024,Virginia St.,35,Fayetteville St. Broncos,18,"1,347",/contests/5366056/box_score,5366056,0,NA,NA
09/28/2024,Findlay Oilers,28,Hillsdale,21,"2,761",/contests/5366059/box_score,5366059,0,NA,NA
09/28/2024,Bentley Falcons,35,New Haven,45,"1,500",/contests/5366060/box_score,5366060,0,NA,NA
09/28/2024,Barton,27,Anderson  Trojans,13,"2,975",/contests/5366064/box_score,5366064,0,NA,NA
09/28/2024,Bloomsburg Huskies,23,West Chester,21,"2,688",/contests/5366065/box_score,5366065,0,NA,NA
09/28/2024,Bemidji St. Beavers,41,Mary,7,"3,500",/contests/5366066/box_score,5366066,0,NA,NA
09/28/2024,Fort Lewis Skyhawks,33,South Dakota Mines,49,"1,739",/contests/5366069/box_score,5366069,0,NA,NA
09/28/2024,Missouri Western Griffons,16,Washburn,24,"2,781",/contests/5366070/box_score,5366070,0,NA,NA
09/28/2024,Albany St.  Golden Rams,49,Kentucky St.,21,"2,257",/contests/5366075/box_score,5366075,0,NA,NA
09/28/2024,Grand Valley St. Lakers,31,West Florida,7,"10,458",/contests/5366080/box_score,5366080,0,NA,NA
09/28/2024,Northeastern St.,20,Mo. Southern St. Lions,27,"2,953",/contests/5366086/box_score,5366086,0,NA,NA
09/28/2024,Indiana (PA),31,Clarion Golden Eagles,0,"5,192",/contests/5366091/box_score,5366091,0,NA,NA
09/28/2024,Okla. Baptist,20,East Central Tigers,10,"2,223",/contests/5366098/box_score,5366098,0,NA,NA
09/28/2024,Central Wash. Wildcats,36,Western N.M.,0,"5,246",/contests/5366099/box_score,5366099,0,NA,NA
09/28/2024,Catawba,34,Carson-Newman Eagles,35,"1,971",/contests/5366100/box_score,5366100,0,NA,NA
09/27/2024,Assumption Greyhounds,35,Post,7,"1,255",/contests/5366101/box_score,5366101,0,NA,NA
09/28/2024,Western Ill.,49,McKendree Bearcats,32,"4,827",/contests/5366103/box_score,5366103,0,NA,NA
09/28/2024,Slippery Rock,28,Edinboro Fighting Scots,23,"7,803",/contests/5366107/box_score,5366107,0,NA,NA
09/28/2024,Northern St. Wolves,30,Winona St.,24,"4,877",/contests/5366108/box_score,5366108,0,NA,NA
09/28/2024,Johnson C. Smith,42,Bluefield St. Big Blue,3,258,/contests/5366109/box_score,5366109,0,NA,NA
09/28/2024,UIndy,24,Saginaw Valley Cardinals,28,"2,076",/contests/5366110/box_score,5366110,0,NA,NA
09/28/2024,Ouachita Baptist,49,Ark.-Monticello Boll Weevils,14,"3,452",/contests/5366114/box_score,5366114,0,NA,NA
09/28/2024,Northwestern Okla. Rangers,21,Southeastern Okla.,27,"2,100",/contests/5366115/box_score,5366115,0,NA,NA
09/28/2024,Southwestern Okla.,24,Southern Nazarene Crimson Storm,17,"3,028",/contests/5366117/box_score,5366117,0,NA,NA
09/28/2024,Arkansas Tech Wonder Boys,7,Southern Ark.,38,"3,824",/contests/5366119/box_score,5366119,0,NA,NA
09/29/2024,Savannah St.,0,Fort Valley St. Wildcats,30,"3,693",/contests/5366121/box_score,5366121,0,NA,NA
09/28/2024,Lincoln  Lions,14,Livingstone,15,"1,212",/contests/5366124/box_score,5366124,0,NA,NA
09/28/2024,Lake Erie Storm,20,Northwood,55,350,/contests/5366125/box_score,5366125,0,NA,NA
09/28/2024,East Stroudsburg Warriors,21,Kutztown,27,"4,757",/contests/5366127/box_score,5366127,0,NA,NA
09/29/2024,Edward Waters Tigers,13,Tuskegee,27,"1,095",/contests/5366129/box_score,5366129,0,NA,NA
11/22/2024,North Greenville Crusaders,37,Shorter,17,"1,042",/contests/5366135/box_score,5366135,0,NA,NA
09/28/2024,Thomas More Saints,44,Walsh,21,"1,421",/contests/5366137/box_score,5366137,0,NA,NA
09/28/2024,Midwestern St. Mustangs,3,Tex. Permian Basin,27,"6,127",/contests/5366139/box_score,5366139,0,NA,NA
09/28/2024,Tex. A&M-Kingsville,56,Sul Ross St. Lobos  *NCAA Division II Reclassifying Member,21,"10,500",/contests/5366140/box_score,5366140,0,NA,NA
09/28/2024,Central Okla. Bronchos,49,Fort Hays St.,24,"5,234",/contests/5366141/box_score,5366141,0,NA,NA
09/28/2024,Harding Bisons,66,Henderson St.,0,"5,200",/contests/5366144/box_score,5366144,0,NA,NA
09/28/2024,Allen,13,Miles,33,608,/contests/5366145/box_score,5366145,0,NA,NA
