number	name	class	position	height	weight	hometown	high_school	team	season
15	Aidan Swett	Sr.	DL	-	NA			West Florida	2024
19	Raymond Cottrell	Fr.	WR	6-3	210	Milton, FL	Milton	West Florida	2024
75	Levi Johnson	Jr.	OL	-	NA			West Florida	2024
32	Kyriee Lewis	Jr.	DL	-	NA			West Florida	2024
1	Jamontez Woods	Sr.	RB	6-0	205			West Florida	2024
11	Da'Mani Brown	Sr.	WR	-	NA			West Florida	2024
9	Kam Canterbury	So.	DB	5-10	185	Saint Petersburg, FL	Pinellas Park	West Florida	2024
59	Riyon Adams	Sr.	OL	-	NA			West Florida	2024
19	Adam Aiken	So.	DL	6-3	230			West Florida	2024
99	Traquan McNair	Sr.	DL	-	NA			West Florida	2024
66	Emanuel Rushing	Jr.	OL	-	NA			West Florida	2024
61	Nick Cox	So.	OL	-	NA			West Florida	2024
41	Cade Lombardo	Fr.	K	-	NA			West Florida	2024
22	Chester Fearon	Jr.	DB	-	NA			West Florida	2024
18	Eric Folau	Sr.	LB	-	NA			West Florida	2024
13	Jackson Blalock	So.	TE	-	NA			West Florida	2024
6	Jakobe Quillen	Sr.	WR	-	NA			West Florida	2024
16	Logan Gregory	Jr.	P	-	NA			West Florida	2024
21	Robert Riley	So.	LB	-	NA			West Florida	2024
78	Colton Beesley	Jr.	OL	-	NA			West Florida	2024
68	Matthew McQueen	Fr.	OL	-	NA			West Florida	2024
4	Walker Robinson	Jr.	LB	-	NA			West Florida	2024
85	Patrick Delcour	Fr.	WR	-	NA			West Florida	2024
30	Devin Wright	So.	LB	-	NA			West Florida	2024
8	TJ Lane	Fr.	RB	-	NA			West Florida	2024
5	Zac Offord	Sr.	WR	-	NA			West Florida	2024
20	Jamari Dickens	Fr.	WR	-	NA			West Florida	2024
4	Michael Rich, Jr.	Jr.	QB	6-4	210			West Florida	2024
17	Jaylen Fortune	Jr.	RB	-	NA			West Florida	2024
6	McGrew Fortune	Sr.	LB	-	NA			West Florida	2024
71	Matt Adcock	Sr.	OL	-	NA			West Florida	2024
36	Joshua Doan	Fr.	DB	-	NA			West Florida	2024
7	Kode Lowe	So.	LB	-	NA			West Florida	2024
92	Kenneth Martin	Sr.	DT	-	NA			West Florida	2024
35	Will Breland	Jr.	LB	-	NA			West Florida	2024
8	Collin Shaw	Jr.	DL	-	NA			West Florida	2024
11	Byron Puryear	Sr.	DL	-	NA			West Florida	2024
70	Nash Nelson	Sr.	OL	-	NA			West Florida	2024
18	TJ Wilson	So.	QB	-	NA			West Florida	2024
2	Marcus Stokes	So.	QB	6-2	195			West Florida	2024
32	Troy Coughlin	Fr.	RB	-	NA			West Florida	2024
25	Ernest Flythe	Fr.	DB	-	NA			West Florida	2024
28	Zach Johnson	So.	DB	-	NA			West Florida	2024
83	Justin Taylor	Sr.	WR	-	NA			West Florida	2024
31	AJ Eason	Fr.	LB	-	NA			West Florida	2024
3	Ja'Corey Scott	So.	WR	6-1	170			West Florida	2024
80	Jake Robinette	So.	TE	-	NA			West Florida	2024
64	Kingston Grady	Sr.	OL	-	NA			West Florida	2024
23	Don Volante	Jr.	LS	-	NA			West Florida	2024
52	Kaleb Williams	So.	DL	-	NA			West Florida	2024
95	James Kitt	Sr.	DL	-	NA			West Florida	2024
24	Anthony Ballard	Jr.	LB	-	NA			West Florida	2024
55	Keilon Hayes	Fr.	OL	-	NA			West Florida	2024
1	Elijah Williams	Sr.	DB	6-4	180			West Florida	2024
27	Virgil Lemons	Sr.	DB	-	NA			West Florida	2024
10	Donovan Barnes	So.	DB	-	NA			West Florida	2024
37	Kam Fuller	So.	DB	-	NA			West Florida	2024
14	Ralph Ortiz	So.	LB	-	NA			West Florida	2024
34	Norman Gadsden	Fr.	DB	-	NA			West Florida	2024
88	Luis Chafino	So.	WR	-	NA			West Florida	2024
54	Justice Williams	Jr.	DL	-	NA			West Florida	2024
29	Mi'Chaun Coward	Sr.	LB	-	NA			West Florida	2024
49	Channing Clabaugh	Fr.	TE	-	NA			West Florida	2024
47	Hunter Wood	Fr.	TE	-	NA			West Florida	2024
58	Owen Draves	Fr.	OL	-	NA			West Florida	2024
72	Jayiah Gardner	Fr.	OL	-	NA			West Florida	2024
97	Thomas Weinhardt	Fr.	DL	-	NA			West Florida	2024
23	Tyrell Marshall	Fr.	DB	-	NA			West Florida	2024
87	Nathan Wright	So.	TE	-	NA			West Florida	2024
94	Lavarius McCollough	Fr.	DL	-	NA			West Florida	2024
76	Ryan Hunt	Fr.	OL	6-1	280	Milton, FL	Milton	West Florida	2024
81	Veontai Williams	Fr.	WR	-	NA			West Florida	2024
86	Myles Simmons	Fr.	WR	-	NA			West Florida	2024
91	Antwuan Hampton	Fr.	DL	-	NA			West Florida	2024
2	Tony Newsome	So.	DB	6-0	170			West Florida	2024
84	Trevon Kemmerlin	Fr.	WR	-	NA			West Florida	2024
46	George Shannon	Fr.	LS	-	NA			West Florida	2024
60	Weston Gruttadauria	Fr.	OL	-	NA			West Florida	2024
57	Parsa Pordeli	Sr.	K	-	NA			West Florida	2024
56	Shane Elam	Fr.	OL	-	NA			West Florida	2024
89	Anthony Vaglienti	Fr.	WR	-	NA			West Florida	2024
10	Jabari Murphy	Fr.	WR	-	NA			West Florida	2024
43	Aaron Reabe	Fr.	DL	-	NA			West Florida	2024
44	Carson Ratliff	Fr.	LB	-	NA			West Florida	2024
48	Jeremiah Dean	Fr.	LB	-	NA			West Florida	2024
53	Jonah Mitchell	So.	LS	-	NA			West Florida	2024
57	Nico Kelly	Fr.	DL	-	NA			West Florida	2024
82	Cash Turner	Fr.	WR	-	NA			West Florida	2024
84	Blake Durham	So.	WR	-	NA			West Florida	2024
98	Kevin Roberts	Fr.	DL	-	NA			West Florida	2024
38	Brian Hooks	Fr.	DB	-	NA			West Florida	2024
42	Davon Jackson	Fr.	RB	-	NA			West Florida	2024
42	Allen Sieni	So.	DB	-	NA			West Florida	2024
14	Mikaiah Stephenson	Jr.	WR	-	NA			West Florida	2024
15	Ty'Ray Davis	Fr.	QB	-	NA			West Florida	2024
16	John Nicholas	Fr.	QB	-	NA			West Florida	2024
17	Ja'Kobe Clinton	Jr.	LB	-	NA			West Florida	2024
65	Jonathan Thames	Fr.	OL	-	NA			West Florida	2024
25	Keeshaun Glanton	Fr.	RB	-	NA			West Florida	2024
26	Ryan Cunningham	Jr.	DB	-	NA			West Florida	2024
39	Carsyn Cobb	Fr.	RB	-	NA			West Florida	2024
33	Cameron Anderson	Fr.	LB	-	NA			West Florida	2024
73	Jordan Capraro	Fr.	OL	-	NA			West Florida	2024
67	Arthur Challenor	So.	OL	-	NA			West Florida	2024
79	Caden Anderson	Fr.	OL	-	NA			West Florida	2024
