school_name,links,team_id,year
Tusculum,/teams/62411,62411,2014
Tuskegee,/teams/62343,62343,2014
UIndy,/teams/62300,62300,2014
UNC Pembroke,/teams/62329,62329,2014
Upper Iowa,/teams/62344,62344,2014
Urbana,/teams/62419,62419,2014
Utah Tech,/teams/62418,62418,2014
Valdosta St.,/teams/62345,62345,2014
Virginia St.,/teams/62346,62346,2014
Virginia Union,/teams/62347,62347,2014
Walsh,/teams/62431,62431,2014
Washburn,/teams/62394,62394,2014
Wayne St. (MI),/teams/62348,62348,2014
Wayne St. (NE),/teams/62384,62384,2014
West Ala.,/teams/62308,62308,2014
West Chester,/teams/62349,62349,2014
West Ga.,/teams/62350,62350,2014
West Liberty,/teams/62385,62385,2014
West Tex. A&M,/teams/62351,62351,2014
West Va. Wesleyan,/teams/62407,62407,2014
West Virginia St.,/teams/62386,62386,2014
Western Colo.,/teams/62393,62393,2014
Western N.M.,/teams/62387,62387,2014
Western Ore.,/teams/62388,62388,2014
William Jewell,/teams/62421,62421,2014
Wingate,/teams/62389,62389,2014
Winona St.,/teams/62352,62352,2014
Winston-Salem,/teams/62353,62353,2014
Adams St.,/teams/83224,83224,2015
Albany St. (GA),/teams/83136,83136,2015
Alderson Broaddus,/teams/83225,83225,2015
American Int'l,/teams/83137,83137,2015
Angelo St.,/teams/83138,83138,2015
Ark.-Monticello,/teams/83266,83266,2015
Arkansas Tech,/teams/83226,83226,2015
Ashland,/teams/83139,83139,2015
Assumption,/teams/83140,83140,2015
Augustana (SD),/teams/83141,83141,2015
Azusa Pacific,/teams/83303,83303,2015
Bemidji St.,/teams/83142,83142,2015
Benedict,/teams/83143,83143,2015
Bentley,/teams/83144,83144,2015
Black Hills St.,/teams/83297,83297,2015
Bloomsburg,/teams/83145,83145,2015
Bowie St.,/teams/83146,83146,2015
Brevard,/teams/83288,83288,2015
CSU Pueblo,/teams/83261,83261,2015
Cal Poly Humboldt,/teams/83166,83166,2015
California (PA),/teams/83147,83147,2015
Carson-Newman,/teams/83227,83227,2015
Catawba,/teams/83228,83228,2015
Central Mo.,/teams/83148,83148,2015
Central Okla.,/teams/83229,83229,2015
Central St. (OH),/teams/83285,83285,2015
Central Wash.,/teams/83230,83230,2015
Chadron St.,/teams/83231,83231,2015
Charleston (WV),/teams/83232,83232,2015
Cheyney,/teams/83149,83149,2015
Chowan,/teams/83271,83271,2015
Clarion,/teams/83150,83150,2015
Clark Atlanta,/teams/83151,83151,2015
Colo. Sch. of Mines,/teams/83152,83152,2015
Colorado Mesa,/teams/83280,83280,2015
Concord,/teams/83233,83233,2015
Concordia-St. Paul,/teams/83276,83276,2015
Delta St.,/teams/83153,83153,2015
East Central,/teams/83272,83272,2015
East Stroudsburg,/teams/83154,83154,2015
East Texas A&M,/teams/83155,83155,2015
Eastern N.M.,/teams/83156,83156,2015
Edinboro,/teams/83157,83157,2015
Elizabeth City St.,/teams/83158,83158,2015
Emporia St.,/teams/83234,83234,2015
Fairmont St.,/teams/83235,83235,2015
Fayetteville St.,/teams/83159,83159,2015
Ferris St.,/teams/83160,83160,2015
Findlay,/teams/83236,83236,2015
Florida Tech,/teams/83161,83161,2015
Fort Hays St.,/teams/83273,83273,2015
Fort Lewis,/teams/83237,83237,2015
Fort Valley St.,/teams/83162,83162,2015
Gannon,/teams/83163,83163,2015
Glenville St.,/teams/83238,83238,2015
Grand Valley St.,/teams/83164,83164,2015
Harding,/teams/83239,83239,2015
Henderson St.,/teams/83240,83240,2015
Hillsdale,/teams/83165,83165,2015
Indiana (PA),/teams/83167,83167,2015
Johnson C. Smith,/teams/83169,83169,2015
Kentucky St.,/teams/83170,83170,2015
Kutztown,/teams/83172,83172,2015
Ky. Wesleyan,/teams/83171,83171,2015
LIU Post,/teams/83179,83179,2015
Lake Erie,/teams/83262,83262,2015
Lane,/teams/83173,83173,2015
Lenoir-Rhyne,/teams/83242,83242,2015
Limestone,/teams/83243,83243,2015
Lincoln (MO),/teams/83174,83174,2015
Lincoln (PA),/teams/83175,83175,2015
Lindenwood,/teams/83298,83298,2015
Livingstone,/teams/83177,83177,2015
Lock Haven,/teams/83178,83178,2015
MSU Moorhead,/teams/83246,83246,2015
Malone,/teams/83299,83299,2015
Mars Hill,/teams/83244,83244,2015
Mary,/teams/83287,83287,2015
Maryville (MO),/teams/83181,83181,2015
McKendree,/teams/83300,83300,2015
McMurry,/teams/83267,83267,2015
Mercyhurst,/teams/83182,83182,2015
Merrimack,/teams/83183,83183,2015
Michigan Tech,/teams/83184,83184,2015
Midwestern St.,/teams/83245,83245,2015
Miles,/teams/83185,83185,2015
Millersville,/teams/83186,83186,2015
Minn. Duluth,/teams/83187,83187,2015
Minn.-Crookston,/teams/83284,83284,2015
Minnesota St.,/teams/83180,83180,2015
Minot St.,/teams/83293,83293,2015
Mississippi Col.,/teams/83188,83188,2015
Missouri S&T,/teams/83189,83189,2015
Missouri Western,/teams/83275,83275,2015
